,pref,pop_dens,pref_no
9029,Tokyo,9793 ,13
9030,Kanagawa,6253 ,14
9031,Niigata,490 ,15
9032,Toyama,567 ,16
9033,Ishikawa,818 ,17
9034,Fukui,713 ,18
9035,Yamanashi,850 ,19
9036,Aomori,386 ,2
9037,Nagano,635 ,20
9038,Gifu,899 ,21
9039,Shizuoka,1325 ,22
9040,Aichi,2527 ,23
9041,Mie,865 ,24
9042,Shiga,1082 ,25
9043,Kyoto,2201 ,26
9044,Osaka,6620 ,27
9045,Hyogo,1964 ,28
9046,Nara,1555 ,29
9047,Iwate,330 ,3
9048,Wakayama,830 ,30
9049,Tottori,617 ,31
9050,Shimane,519 ,32
9051,Okayama,852 ,33
9052,Hiroshima,1213 ,34
9053,Yamaguchi,796 ,35
9054,Tokushima,721 ,36
9055,Kagawa,951 ,37
9056,Ehime,800 ,38
9057,Kochi,600 ,39
9058,Miyagi,731 ,4
9059,Fukuoka,1848 ,40
9060,Saga,610 ,41
9061,Nagasaki,792 ,42
9062,Kumamoto,625 ,43
9063,Oita,631 ,44
9064,Miyazaki,580 ,45
9065,Kagoshima,484 ,46
9066,Okinawa,1243 ,47
9067,Akita,302 ,5
9068,Yamagata,374 ,6
9069,Fukushima,438 ,7
9070,Ibaraki,719 ,8
9071,Tochigi,648 ,9
9072,Hokkaido,235 ,1
9073,Gunma,852 ,10
9074,Saitama,2844 ,11
9075,Chiba,1761 ,12
9076,Tokyo,9793 ,13
9077,Kanagawa,6253 ,14
9078,Niigata,490 ,15
9079,Toyama,567 ,16
9080,Ishikawa,818 ,17
9081,Fukui,713 ,18
9082,Yamanashi,850 ,19
9083,Aomori,386 ,2
9084,Nagano,635 ,20
9085,Gifu,899 ,21
9086,Shizuoka,1325 ,22
9087,Aichi,2527 ,23
9088,Mie,865 ,24
9089,Shiga,1082 ,25
9090,Kyoto,2201 ,26
9091,Osaka,6620 ,27
9092,Hyogo,1964 ,28
9093,Nara,1555 ,29
9094,Iwate,330 ,3
9095,Wakayama,830 ,30
9096,Tottori,617 ,31
9097,Shimane,519 ,32
9098,Okayama,852 ,33
9099,Hiroshima,1213 ,34
9100,Yamaguchi,796 ,35
9101,Tokushima,721 ,36
9102,Kagawa,951 ,37
9103,Ehime,800 ,38
9104,Kochi,600 ,39
9105,Miyagi,731 ,4
9106,Fukuoka,1848 ,40
9107,Saga,610 ,41
9108,Nagasaki,792 ,42
9109,Kumamoto,625 ,43
9110,Oita,631 ,44
9111,Miyazaki,580 ,45
9112,Kagoshima,484 ,46
9113,Okinawa,1243 ,47
9114,Akita,302 ,5
9115,Yamagata,374 ,6
9116,Fukushima,438 ,7
9117,Ibaraki,719 ,8
