date_case,pref_no,pref,newcases,cumcases,death,cumdeath
2020/9/20,20,’·–ìŒ§,0,301,0,1
2020/9/21,20,’·–ìŒ§,2,303,0,1
2020/9/22,20,’·–ìŒ§,0,303,0,1
2020/9/23,20,’·–ìŒ§,0,303,0,1
2020/9/24,20,’·–ìŒ§,0,303,0,1
2020/9/25,20,’·–ìŒ§,0,303,0,1
2020/9/26,20,’·–ìŒ§,0,303,0,1
2020/9/27,20,’·–ìŒ§,2,305,0,1
2020/9/28,20,’·–ìŒ§,0,305,0,1
2020/9/29,20,’·–ìŒ§,0,305,0,1
2020/9/30,20,’·–ìŒ§,4,309,0,1
2020/10/1,20,’·–ìŒ§,1,310,0,1
2020/10/2,20,’·–ìŒ§,1,311,0,1
2020/10/3,20,’·–ìŒ§,1,312,0,1
2020/10/4,20,’·–ìŒ§,1,313,0,1
2020/10/5,20,’·–ìŒ§,0,313,0,1
2020/10/6,20,’·–ìŒ§,0,313,0,1
2020/10/7,20,’·–ìŒ§,3,316,0,1
2020/10/8,20,’·–ìŒ§,1,317,0,1
2020/10/9,20,’·–ìŒ§,1,318,0,1
2020/10/10,20,’·–ìŒ§,2,320,0,1
2020/10/11,20,’·–ìŒ§,0,320,0,1
2020/10/12,20,’·–ìŒ§,0,320,0,1
2020/10/13,20,’·–ìŒ§,0,320,1,2
2020/10/14,20,’·–ìŒ§,0,320,1,3
2020/10/15,20,’·–ìŒ§,0,320,0,3
2020/10/16,20,’·–ìŒ§,3,323,0,3
2020/10/17,20,’·–ìŒ§,3,326,1,4
2020/10/18,20,’·–ìŒ§,0,326,0,4
2020/10/19,20,’·–ìŒ§,0,326,0,4
2020/10/20,20,’·–ìŒ§,0,326,0,4
2020/10/21,20,’·–ìŒ§,1,327,0,4
2020/10/22,20,’·–ìŒ§,2,329,0,4
2020/10/23,20,’·–ìŒ§,1,330,0,4
2020/10/24,20,’·–ìŒ§,1,331,0,4
2020/10/25,20,’·–ìŒ§,3,334,0,4
2020/10/26,20,’·–ìŒ§,0,334,0,4
2020/10/27,20,’·–ìŒ§,0,334,0,4
2020/10/28,20,’·–ìŒ§,1,335,0,4
2020/10/29,20,’·–ìŒ§,3,338,0,4
2020/10/30,20,’·–ìŒ§,1,339,0,4
2020/10/31,20,’·–ìŒ§,2,341,0,4
2020/11/1,20,’·–ìŒ§,2,343,2,6
2020/11/2,20,’·–ìŒ§,1,344,0,6
2020/11/3,20,’·–ìŒ§,5,349,0,6
2020/11/4,20,’·–ìŒ§,1,350,0,6
2020/11/5,20,’·–ìŒ§,0,350,0,6
2020/11/6,20,’·–ìŒ§,1,351,0,6
2020/11/7,20,’·–ìŒ§,18,369,0,6
2020/11/8,20,’·–ìŒ§,1,370,0,6
2020/11/9,20,’·–ìŒ§,14,384,0,6
2020/11/10,20,’·–ìŒ§,3,387,0,6
